"model","fold","rmse"
"lasso_pred",1,11763.1989937496
"lasso_pred",2,17440.6109067489
"lasso_pred",3,17538.0442232983
"lasso_pred",4,11765.7989771989
"lasso_pred",5,15316.9284627604
"lm_pred",1,11647.9295898907
"lm_pred",2,17337.8776035566
"lm_pred",3,17633.1997664436
"lm_pred",4,11839.2832887135
"lm_pred",5,15323.7802939296
"poly_pred",1,11425.8787185797
"poly_pred",2,16717.4519102741
"poly_pred",3,18705.5098261465
"poly_pred",4,11439.0550181126
"poly_pred",5,14887.8878643294
"ridge_pred",1,13897.7259679835
"ridge_pred",2,19743.7029782152
"ridge_pred",3,15811.2068654453
"ridge_pred",4,13469.0713155128
"ridge_pred",5,16140.5903347552
"xgb_pred",1,9880.76979168099
"xgb_pred",2,12690.794182833
"xgb_pred",3,10724.8293588891
"xgb_pred",4,10198.5154483116
"xgb_pred",5,11055.4322371797
